KAZ,63,41,156,1636,40,9814
SAU,85,41,351,7642,187,29793
SGP,642,20,534,36007,1826,342687
SWE,2129,12,668,152833,12680,1421500
SDN,10,18,204,812,44,2037
DOM,84,54,194,4028,74,16331
DMA,4,1,35,25,0,141
DJI,1,1,1,0,0,1
DNK,1152,10,527,66691,6954,607622
DEU,4574,11,906,398412,37272,4144015
YEM,8,1,9,4,0,69
DZA,51,11,93,698,63,4730
MKD,83,22,365,2910,135,30291
LBN,81,14,571,3116,218,46251
LCA,1,1,6,0,0,6
LAO,7,1,208,72,0,1455
TUV,1,1,226,19,0,226
TWN,334,45,98,4246,94,32714
TTO,20,2,463,864,391,9260
TUR,1116,17,190,27200,1580,211737
LKA,352,60,184,15639,259,64772
LIE,4,8,71,83,10,284
TUN,113,25,91,1263,51,10316
TON,4,17,4741,1998,115,18963
LTU,230,29,289,16651,583,66373
LUX,35,21,291,2057,97,10187
LBR,3,1,38,3,0,113
LSO,2,1,4,0,0,7
THA,297,18,367,13428,739,108968
TCD,1,1,27,8,0,27
TCA,1,1,1,0,0,1
LBY,9,1,49,54,0,445
ARE,146,102,129,2639,26,18770
VEN,189,23,160,5311,235,30331
ATG,1,1,1,0,0,1
AFG,14,46,25,414,9,351
IRQ,16,48,40,48,1,632
VIR,8,1,85,32,0,682
ISL,105,25,573,7485,301,60200
IRN,632,40,199,20073,503,125679
ARM,71,29,311,3394,116,22099
ITA,1686,17,436,90314,5451,735624
VNM,431,37,113,12352,338,48911
ATA,2,1,33,39,0,66
ASM,2,1,81,1,0,161
ARG,716,10,459,34090,3464,328642
IMN,7,117,119,117,1,832
ISR,875,14,867,94841,6677,758769
ABW,4,1,187,147,0,746
IND,14434,15,186,336147,22355,2689979
TZA,29,9,260,1202,138,7538
AZE,35,233,181,2567,11,6335
IRL,778,11,681,57967,5479,529850
IDN,677,26,86,7972,311,58328
UKR,1310,27,291,56303,2068,381181
QAT,22,36,638,2507,69,14041
MOZ,5,27,186,27,1,929
